id;host_is_superhost;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;price;minimum_nights_avg_ntm;maximum_nights_avg_ntm;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable
18674;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;6;119;3.4;1125;45;5;0;4.39;4.48;4.59;4.73;4.7;4.8;4.32;1
23197;1;1;el Besòs i el Maresme;Entire rental unit;Entire home/apt;5;2;3;4;219;3.6;1125;81;7;0;4.8;4.94;4.9;4.94;4.99;4.63;4.65;0
32711;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;6;1.5;2;3;70;1.1;31;137;38;0;4.44;4.42;4.37;4.88;4.88;4.88;4.47;0
34241;0;1;el Barri Gòtic;Entire condo;Entire home/apt;2;1;1;1;118;31;180;25;17;0;4.36;4.45;4.55;4.68;4.68;4.73;4.23;0
34981;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;9;3;4;6;203;4.9;1125;252;35;1;4.53;4.6;4.64;4.67;4.7;4.66;4.43;0
40983;1;1;la Dreta de l'Eixample;Entire condo;Entire home/apt;4;1;1;2;70;2;364;350;60;5;4.49;4.57;4.51;4.83;4.83;4.89;4.47;0
41952;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;4;2;2;4;130;3;1125;102;27;0;4.32;4.4;4.22;4.55;4.48;4.7;4.19;1
320506;0;1;el Poble Sec;Entire rental unit;Entire home/apt;2;1;1;1;100;4;365;74;5;0;4.75;4.89;4.78;4.9;4.89;4.7;4.68;1
330745;0;1;la Vila Olímpica del Poblenou;Entire rental unit;Entire home/apt;4;2;2;2;220;31;365;17;0;0;4.62;4.53;4.76;4.82;5;4.94;4.47;0
330957;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;5;1;3;4;96;2;1125;657;74;6;4.78;4.78;4.77;4.88;4.89;4.83;4.69;0
331026;0;1;Sant Antoni;Private room in rental unit;Private room;2;1;1;1;45;3;6;309;46;2;4.66;4.74;4.4;4.89;4.85;4.83;4.72;0
335861;0;1;el Poblenou;Entire rental unit;Entire home/apt;5;1;1;1;132;6.1;1125;122;13;1;4.16;4.3;3.98;4.6;4.66;4.42;4.06;1
49968;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;6;1;2;7;107;1.1;31;121;32;1;4.63;4.79;4.4;4.92;4.95;4.88;4.57;0
58512;1;1;el Camp de l'Arpa del Clot;Entire rental unit;Entire home/apt;5;2;3;3;106;3.1;83.2;397;17;0;4.49;4.53;4.46;4.66;4.77;4.37;4.51;0
68547;0;1;el Barri Gòtic;Entire vacation home;Entire home/apt;4;2;2;2;125;31;730;93;1;0;4.75;4.65;4.31;4.92;4.93;4.9;4.67;0
71553;0;0;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;2;1.5;1;1;157;3;1125;83;2;0;4.24;4.11;4.48;4.46;4.62;4.57;4.15;0
71736;0;1;el Raval;Entire rental unit;Entire home/apt;4;1.5;4;5;68;28;32;10;1;0;3.88;3.63;3.25;3.88;3.75;4.25;3.75;0
341563;0;1;les Corts;Entire rental unit;Entire home/apt;2;1;1;2;100;31;1125;1;0;0;5;5;5;5;5;5;5;0
343861;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;1;1;1;84;3.4;1125;46;11;0;4.41;4.43;4.41;4.8;4.85;4.74;4.13;1
343864;0;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;7;2;3;5;83;3.4;1125;51;16;2;4.47;4.69;4.47;4.8;4.8;4.82;4.24;1
343866;0;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;7;2;3;4;94;3.4;1125;131;36;2;4.47;4.61;4.54;4.79;4.82;4.9;4.36;1
72436;0;1;el Poblenou;Entire serviced apartment;Entire home/apt;3;1;1;2;96;3.7;28;881;114;29;4.73;4.71;4.77;4.76;4.8;4.79;4.51;0
72793;0;1;el Raval;Entire rental unit;Entire home/apt;2;1;2;2;60;28;32;1;0;0;5;5;4;5;5;4;4;0
72794;0;1;el Raval;Entire rental unit;Entire home/apt;2;1.5;1;1;60;28;32;7;0;0;4.33;4;4;4;4.14;4.14;3.83;0
73683;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;12;2;4;14;251;1.1;31;232;32;1;4.57;4.52;4.41;4.84;4.9;4.8;4.52;0
75411;1;1;el Clot;Entire rental unit;Entire home/apt;6;1;3;4;157;3.1;330;112;23;0;4.46;4.58;4.38;4.9;4.91;4.77;4.37;0
351395;1;1;el Fort Pienc;Entire condo;Entire home/apt;6;2;3;4;119;1;1125;98;12;1;4.58;4.6;4.61;4.74;4.72;4.75;4.37;1
352772;1;1;la Nova Esquerra de l'Eixample;Entire rental unit;Entire home/apt;4;1;2;3;143;2;1125;253;40;4;4.75;4.78;4.67;4.76;4.78;4.76;4.55;1
353640;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;6;1.5;2;4;119;3.6;1125;193;2;0;4.55;4.68;4.55;4.74;4.88;4.97;4.53;0
357576;1;1;la Vila de Gràcia;Entire home;Entire home/apt;3;1;3;3;169;2;1125;467;73;4;4.9;4.93;4.92;4.99;4.99;4.96;4.85;0
359841;0;1;Diagonal Mar i el Front Marítim del Poblenou;Entire rental unit;Entire home/apt;4;1;2;2;76;2;1125;527;63;2;4.69;4.79;4.58;4.91;4.89;4.67;4.64;1
83283;0;1;Sant Antoni;Private room in rental unit;Private room;2;1;1;1;59;3;365;133;12;0;4.38;4.37;4.74;4.45;4.72;4.84;4.32;0
89756;1;1;el Raval;Entire rental unit;Entire home/apt;8;1;3;7;266;5.9;1000;25;2;0;4.72;4.64;4.52;4.88;4.92;4.8;4.44;1
89776;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;3;1;1;2;74;3.8;999;393;43;4;4.78;4.85;4.81;4.91;4.9;4.93;4.71;1
95719;0;1;Sant Pere, Santa Caterina i la Ribera;Private room in rental unit;Private room;2;1;1;0;90;31;1125;256;0;0;4.75;4.79;4.86;4.81;4.88;4.93;4.63;0
97529;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;2;1;1;1;47;120;1125;67;0;0;4.74;4.86;4.86;4.91;4.91;4.45;4.71;0
364030;0;1;Sant Antoni;Entire rental unit;Entire home/apt;4;1;2;2;100;2.4;1125;432;40;0;4.66;4.7;4.65;4.72;4.77;4.79;4.55;0
365911;0;1;la Nova Esquerra de l'Eixample;Entire rental unit;Entire home/apt;4;1.5;3;3;133;4.9;1125;138;5;0;4.69;4.84;4.59;4.78;4.83;4.83;4.57;0
370665;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;6;1;3;4;240;31;365;5;3;0;4.8;4.8;4.8;5;5;5;5;0
373667;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;3;1;1;3;160;1;1125;5;2;0;4.8;4.4;4.8;5;4.8;5;4.6;0
383894;1;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;2;2;2;0;119;90;330;44;0;0;4.22;4.23;4.33;4.53;4.77;4.63;4;0
110041;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;4;1;1;2;94;3.3;999.1;81;34;3;4.22;4.35;4.26;4.28;4.46;4.69;4.07;0
112538;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;6;201;2.8;32;135;17;3;4.45;4.51;4.57;4.63;4.61;4.84;4.43;1
117010;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;6;182;2.8;30;60;10;1;4.6;4.64;4.64;4.81;4.86;4.88;4.6;0
384063;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;6;2;3;4;90;1;1125;9;1;0;3.75;3.75;4.38;4.63;4.25;4.25;3.75;0
384155;1;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;4;2;2;3;125;32;333;73;0;0;4.47;4.51;4.49;4.69;4.69;4.9;4.38;0
384464;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;2;1;1;1;800;3;360;229;9;0;4.97;4.98;4.98;4.97;4.99;5;4.92;0
393717;0;1;el Raval;Entire rental unit;Entire home/apt;4;1;2;4;95;3;1125;465;54;1;4.48;4.72;4.45;4.84;4.86;4.64;4.52;1
399772;1;1;la Nova Esquerra de l'Eixample;Entire rental unit;Entire home/apt;3;1;2;2;97;2.2;1125;178;52;2;4.86;4.93;4.92;4.87;4.92;4.74;4.74;0
118228;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;5;205;2.8;28;67;10;2;4.63;4.55;4.67;4.63;4.79;4.91;4.58;0
128463;0;1;Sants;Entire rental unit;Entire home/apt;2;2;1;1;79;3;1125;441;38;3;4.85;4.89;4.93;4.94;4.9;4.72;4.8;0
135513;1;1;el Poblenou;Entire rental unit;Entire home/apt;6;1.5;3;3;63;2;330;160;33;1;4.68;4.77;4.71;4.69;4.8;4.84;4.59;0
136670;1;1;Pedralbes;Private room in rental unit;Private room;1;1;1;1;44;29.6;1125;137;4;0;4.61;4.59;4.53;4.8;4.77;4.79;4.59;0
138055;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;6;192;2.8;28;146;28;6;4.57;4.59;4.61;4.63;4.71;4.91;4.56;1
402369;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;5;1;2;5;90;2;365;11;0;0;4.29;4.18;4.45;4.64;4.64;4.45;4.18;0
408599;0;1;el Poble Sec;Entire rental unit;Entire home/apt;7;2;3;3;84;1;365;625;91;6;4.64;4.69;4.59;4.83;4.92;4.84;4.6;0
414786;0;1;la Dreta de l'Eixample;Private room in rental unit;Private room;2;2;1;1;17;31;222;171;0;0;4.46;4.56;4.43;4.76;4.72;4.93;4.58;0
417239;0;1;la Vila de Gràcia;Entire home;Entire home/apt;3;1;2;4;106;31;1125;109;2;0;4.71;4.75;4.73;4.77;4.81;4.85;4.6;0
424137;1;1;el Barri Gòtic;Entire serviced apartment;Entire home/apt;5;2;2;3;138;2.6;461.3;206;35;3;4.7;4.58;4.8;4.68;4.82;4.86;4.64;0
